,Month,Day,Hour,Lat,Long,WindSpeed,Pressure,unique-key,distance,direction,gridID
134,8.0,19.0,18.0,12.0,-44.5,30.0,1010.0,DEBBY-2000-7,0.0,0.0,0.0
135,8.0,20.0,0.0,12.6,-45.3,30.0,1010.0,DEBBY-2000-7,68.10148442088497,313.59188734573456,0.0
136,8.0,20.0,6.0,13.3,-46.8,35.0,1009.0,DEBBY-2000-7,112.01743430405432,230.16582946153974,0.0
137,8.0,20.0,12.0,14.0,-48.8,40.0,1008.0,DEBBY-2000-7,142.76698319261794,322.27396631721115,0.0
138,8.0,20.0,18.0,14.7,-50.6,45.0,1007.0,DEBBY-2000-7,129.86799444713355,31.781920102536336,0.0
139,8.0,21.0,0.0,15.1,-52.1,55.0,1006.0,DEBBY-2000-7,103.92729730702489,104.0535032699596,0.0
140,8.0,21.0,6.0,15.4,-54.0,65.0,1005.0,DEBBY-2000-7,128.37521723672847,115.15761284544429,0.0
141,8.0,21.0,12.0,15.7,-56.3,75.0,1004.0,DEBBY-2000-7,154.5372701677382,101.83494443254932,0.0
142,8.0,21.0,18.0,16.1,-58.5,75.0,1004.0,DEBBY-2000-7,148.82017983155689,49.11539545309472,0.0
143,8.0,22.0,0.0,16.8,-60.1,70.0,995.0,DEBBY-2000-7,116.56654774122781,29.656428125071958,0.0
144,8.0,22.0,6.0,17.5,-61.7,65.0,993.0,DEBBY-2000-7,116.21136939159396,208.21487036751546,0.0
145,8.0,22.0,12.0,18.1,-63.5,65.0,994.0,DEBBY-2000-7,125.49568828650791,228.17829055919535,0.0
146,8.0,22.0,18.0,18.8,-65.4,65.0,995.0,DEBBY-2000-7,133.62823780678488,261.9562147106891,0.0
147,8.0,23.0,0.0,19.2,-66.7,65.0,995.0,DEBBY-2000-7,89.33623972383859,244.92152844565814,0.0
148,8.0,23.0,6.0,19.5,-68.1,65.0,995.0,DEBBY-2000-7,93.61675900728291,284.6199461396629,0.0
149,8.0,23.0,12.0,19.8,-69.7,60.0,1005.0,DEBBY-2000-7,106.18414176425074,319.02397167119904,0.0
150,8.0,23.0,18.0,20.0,-71.5,50.0,1009.0,DEBBY-2000-7,117.78790481396845,208.64639539021024,0.0
151,8.0,24.0,0.0,19.9,-73.3,40.0,1010.0,DEBBY-2000-7,117.14116751710586,234.995535186117,0.0
152,8.0,24.0,6.0,19.6,-75.1,35.0,1011.0,DEBBY-2000-7,118.906056540369,314.5307721345739,0.0
153,8.0,24.0,12.0,19.5,-77.0,30.0,1011.0,DEBBY-2000-7,123.93620735218566,249.8782786499585,0.0
168,9.0,10.0,18.0,30.9,-70.9,30.0,1007.0,FLORENCE-2000-10,0.0,0.0,0.0
169,9.0,11.0,0.0,30.8,-71.3,30.0,1007.0,FLORENCE-2000-10,24.719479139318224,341.45200510280466,0.0
170,9.0,11.0,6.0,30.7,-71.8,30.0,1006.0,FLORENCE-2000-10,30.491545255439746,337.6784717806162,0.0
171,9.0,11.0,12.0,30.4,-72.2,45.0,1002.0,FLORENCE-2000-10,31.57039542467377,346.8199917465118,0.0
172,9.0,11.0,18.0,30.1,-72.6,65.0,998.0,FLORENCE-2000-10,31.62566953578513,353.27818931371365,0.0
173,9.0,12.0,0.0,30.1,-72.7,65.0,992.0,FLORENCE-2000-10,5.979302726628259,358.1192649069731,0.0
174,9.0,12.0,6.0,30.2,-72.8,60.0,993.0,FLORENCE-2000-10,9.136828326135255,356.8175510349157,0.0
175,9.0,12.0,12.0,30.3,-73.1,60.0,991.0,FLORENCE-2000-10,19.197809978779453,335.4203453007443,0.0
176,9.0,12.0,18.0,30.6,-73.3,65.0,987.0,FLORENCE-2000-10,23.91408042941514,212.4990514432357,0.0
177,9.0,13.0,0.0,30.8,-73.7,65.0,986.0,FLORENCE-2000-10,27.497423125043866,205.30467742086822,0.0
178,9.0,13.0,6.0,30.7,-74.0,65.0,986.0,FLORENCE-2000-10,19.112163534233844,195.16242973725537,0.0
179,9.0,13.0,12.0,30.7,-73.8,60.0,987.0,FLORENCE-2000-10,11.885356467266579,168.2583974096526,0.0
180,9.0,13.0,18.0,30.5,-73.7,55.0,989.0,FLORENCE-2000-10,15.04830878527705,173.07061675356843,0.0
181,9.0,14.0,0.0,30.2,-73.6,50.0,991.0,FLORENCE-2000-10,21.5745821800859,164.5379209056569,0.0
182,9.0,14.0,6.0,29.6,-73.6,45.0,993.0,FLORENCE-2000-10,41.46767450420081,-0.0,0.0
183,9.0,14.0,12.0,29.5,-73.4,45.0,994.0,FLORENCE-2000-10,13.869269029034815,354.45094937280845,0.0
184,9.0,14.0,18.0,29.3,-73.1,45.0,995.0,FLORENCE-2000-10,22.74546387277217,350.7272819614107,0.0
